SNR,Bw,Power,OSR,Adc1,gm1,Io1,Adc2,gm2,Io2,fs
64.8720762075026,10000,0.000325414625947932,32,265.665270082284,0.000223882153022781,0.000109918691378983,226.248997024788,0.000190665165068304,0.0001,640000
105.864736412203,10000,0.0199723389010979,128,268.754527108361,0.000212392814308174,0.00703641142731374,228.879906603166,0.000180880478647483,0.0059924318582945,2560000
99.7980718931688,10000,0.00576072945387016,512,133.313078911562,0.00214770403377847,0.00202955010725592,113.533659799361,0.00182905309150107,0.00172842944821497,10240000
64.0660466581292,23269.1816877636,0.0208115700734681,32,105.787417709145,0.00614863553547067,0.00733207914258063,100,0.00523637366126306,0.00624423189226591,1489227.62801687
57.7449024916611,23269.1816877636,0.000602701730726796,128,195.067655892575,0.00107923598276958,0.000212336540369575,166.125822483316,0.000919111702402991,0.00018083255397083,5956910.51206749
105.986433509713,23269.1816877636,0.0197365942706625,512,207.740217938271,0.00254334112604505,0.00695335674755202,176.918179541071,0.00216599022778311,0.00592169985034899,23827642.0482699
61.6003724129927,54145.4816418154,0.0110253776023699,32,450.495164741056,0.000202852681613175,0.00388432688509507,383.656016293029,0.000172755798093422,0.0033080163681048,3465310.82507618
113.72146203439,54145.4816418154,0.00405383525182017,128,905.598978714534,0.00807075455270484,0.00142819791070072,771.236904911865,0.00687331137493864,0.00121629878361163,13861243.3003047
58.9986133847618,125992.104989487,0.000929619392806738,32,287.002932250134,0.0022880620420952,0.0003275121932884,244.420829055503,0.0019485864373397,0.000278919804692342,8063494.71932719
54.8996398795854,125992.104989487,0.00905671057595047,128,173.971615695475,0.000118338493466365,0.0031907500721905,148.159763410897,0.000100780826368071,0.00271734428578593,32253978.8773088
65.1232523999977,682190.320772197,0.00546008443125042,64,480.352914920543,0.00123850818137247,0.00192363051099821,409.083826369344,0.00105475297450708,0.00163822494985824,87320361.0588412
